OMRÅDE;CIVILSTAND;ALDER;TID;INDHOLD
Hele landet;Ugift;I alt;2020K4;2859116
Hele landet;Ugift;0 år;2020K4;61381
Hele landet;Ugift;1 år;2020K4;61650
Hele landet;Ugift;2 år;2020K4;62532
Hele landet;Ugift;3 år;2020K4;61928
Hele landet;Ugift;4 år;2020K4;62597
Hele landet;Ugift;5 år;2020K4;59132
Hele landet;Ugift;6 år;2020K4;58528
Hele landet;Ugift;7 år;2020K4;59354
Hele landet;Ugift;8 år;2020K4;60586
Hele landet;Ugift;9 år;2020K4;63442
Hele landet;Ugift;10 år;2020K4;66642
Hele landet;Ugift;11 år;2020K4;66984
Hele landet;Ugift;12 år;2020K4;69063
Hele landet;Ugift;13 år;2020K4;67463
Hele landet;Ugift;14 år;2020K4;68501
Hele landet;Ugift;15 år;2020K4;68110
Hele landet;Ugift;16 år;2020K4;68059
Hele landet;Ugift;17 år;2020K4;67736
Hele landet;Ugift;18 år;2020K4;67886
Hele landet;Ugift;19 år;2020K4;70314
Hele landet;Ugift;20 år;2020K4;71873
Hele landet;Ugift;21 år;2020K4;72919
Hele landet;Ugift;22 år;2020K4;73281
Hele landet;Ugift;23 år;2020K4;76513
Hele landet;Ugift;24 år;2020K4;74894
Hele landet;Ugift;25 år;2020K4;76716
Hele landet;Ugift;26 år;2020K4;72077
Hele landet;Ugift;27 år;2020K4;68725
Hele landet;Ugift;28 år;2020K4;64341
Hele landet;Ugift;29 år;2020K4;58801
Hele landet;Ugift;30 år;2020K4;53898
Hele landet;Ugift;31 år;2020K4;48657
Hele landet;Ugift;32 år;2020K4;42918
Hele landet;Ugift;33 år;2020K4;38418
Hele landet;Ugift;34 år;2020K4;35288
Hele landet;Ugift;35 år;2020K4;32035
Hele landet;Ugift;36 år;2020K4;28768
Hele landet;Ugift;37 år;2020K4;26542
Hele landet;Ugift;38 år;2020K4;25126
Hele landet;Ugift;39 år;2020K4;23939
Hele landet;Ugift;40 år;2020K4;23638
Hele landet;Ugift;41 år;2020K4;22435
Hele landet;Ugift;42 år;2020K4;21848
Hele landet;Ugift;43 år;2020K4;20471
Hele landet;Ugift;44 år;2020K4;20984
Hele landet;Ugift;45 år;2020K4;21246
Hele landet;Ugift;46 år;2020K4;19926
Hele landet;Ugift;47 år;2020K4;19284
Hele landet;Ugift;48 år;2020K4;19343
Hele landet;Ugift;49 år;2020K4;18116
Hele landet;Ugift;50 år;2020K4;16711
Hele landet;Ugift;51 år;2020K4;16501
Hele landet;Ugift;52 år;2020K4;16584
Hele landet;Ugift;53 år;2020K4;17551
Hele landet;Ugift;54 år;2020K4;17493
Hele landet;Ugift;55 år;2020K4;16433
Hele landet;Ugift;56 år;2020K4;15761
Hele landet;Ugift;57 år;2020K4;14757
Hele landet;Ugift;58 år;2020K4;13577
Hele landet;Ugift;59 år;2020K4;12616
Hele landet;Ugift;60 år;2020K4;11951
Hele landet;Ugift;61 år;2020K4;11161
Hele landet;Ugift;62 år;2020K4;10690
Hele landet;Ugift;63 år;2020K4;10048
Hele landet;Ugift;64 år;2020K4;9495
Hele landet;Ugift;65 år;2020K4;8689
Hele landet;Ugift;66 år;2020K4;8074
Hele landet;Ugift;67 år;2020K4;7504
Hele landet;Ugift;68 år;2020K4;6670
Hele landet;Ugift;69 år;2020K4;5928
Hele landet;Ugift;70 år;2020K4;5457
Hele landet;Ugift;71 år;2020K4;4815
Hele landet;Ugift;72 år;2020K4;4407
Hele landet;Ugift;73 år;2020K4;4290
Hele landet;Ugift;74 år;2020K4;3913
Hele landet;Ugift;75 år;2020K4;3277
Hele landet;Ugift;76 år;2020K4;2859
Hele landet;Ugift;77 år;2020K4;2361
Hele landet;Ugift;78 år;2020K4;1973
Hele landet;Ugift;79 år;2020K4;1652
Hele landet;Ugift;80 år;2020K4;1509
Hele landet;Ugift;81 år;2020K4;1382
Hele landet;Ugift;82 år;2020K4;1216
Hele landet;Ugift;83 år;2020K4;1062
Hele landet;Ugift;84 år;2020K4;942
Hele landet;Ugift;85 år;2020K4;813
Hele landet;Ugift;86 år;2020K4;671
Hele landet;Ugift;87 år;2020K4;637
Hele landet;Ugift;88 år;2020K4;511
Hele landet;Ugift;89 år;2020K4;460
Hele landet;Ugift;90 år;2020K4;398
Hele landet;Ugift;91 år;2020K4;338
