OMRÅDE;TID;ALDER;KØN;CIVILSTAND;INDHOLD
Hele landet;2008K4;I alt;I alt;I alt;5505995
Hele landet;2008K4;I alt;I alt;Ugift;2568255
Hele landet;2008K4;I alt;I alt;Gift/separeret;2191033
Hele landet;2008K4;I alt;I alt;Enke/enkemand;314551
Hele landet;2008K4;I alt;I alt;Fraskilt;432156
Hele landet;2009K4;I alt;I alt;I alt;5532531
Hele landet;2009K4;I alt;I alt;Ugift;2588198
Hele landet;2009K4;I alt;I alt;Gift/separeret;2193779
Hele landet;2009K4;I alt;I alt;Enke/enkemand;311126
Hele landet;2009K4;I alt;I alt;Fraskilt;439428
Hele landet;2010K4;I alt;I alt;I alt;5557709
Hele landet;2010K4;I alt;I alt;Ugift;2610799
Hele landet;2010K4;I alt;I alt;Gift/separeret;2191517
Hele landet;2010K4;I alt;I alt;Enke/enkemand;308135
Hele landet;2010K4;I alt;I alt;Fraskilt;447258
Hele landet;2011K4;I alt;I alt;I alt;5579204
Hele landet;2011K4;I alt;I alt;Ugift;2634540
Hele landet;2011K4;I alt;I alt;Gift/separeret;2183712
Hele landet;2011K4;I alt;I alt;Enke/enkemand;305106
Hele landet;2011K4;I alt;I alt;Fraskilt;455846
Hele landet;2012K4;I alt;I alt;I alt;5599665
Hele landet;2012K4;I alt;I alt;Ugift;2657677
Hele landet;2012K4;I alt;I alt;Gift/separeret;2173196
Hele landet;2012K4;I alt;I alt;Enke/enkemand;302436
Hele landet;2012K4;I alt;I alt;Fraskilt;466356
Hele landet;2013K4;I alt;I alt;I alt;5623501
Hele landet;2013K4;I alt;I alt;Ugift;2681019
Hele landet;2013K4;I alt;I alt;Gift/separeret;2165925
Hele landet;2013K4;I alt;I alt;Enke/enkemand;299501
Hele landet;2013K4;I alt;I alt;Fraskilt;477056
Hele landet;2014K4;I alt;I alt;I alt;5655750
Hele landet;2014K4;I alt;I alt;Ugift;2709113
Hele landet;2014K4;I alt;I alt;Gift/separeret;2148451
Hele landet;2014K4;I alt;I alt;Enke/enkemand;297391
Hele landet;2014K4;I alt;I alt;Fraskilt;500795
Hele landet;2015K4;I alt;I alt;I alt;5699220
Hele landet;2015K4;I alt;I alt;Ugift;2744254
Hele landet;2015K4;I alt;I alt;Gift/separeret;2146756
Hele landet;2015K4;I alt;I alt;Enke/enkemand;295150
Hele landet;2015K4;I alt;I alt;Fraskilt;513060
Hele landet;2016K4;I alt;I alt;I alt;5745526
Hele landet;2016K4;I alt;I alt;Ugift;2780475
Hele landet;2016K4;I alt;I alt;Gift/separeret;2145540
Hele landet;2016K4;I alt;I alt;Enke/enkemand;293171
Hele landet;2016K4;I alt;I alt;Fraskilt;526340
Hele landet;2017K4;I alt;I alt;I alt;5778570
Hele landet;2017K4;I alt;I alt;Ugift;2806141
Hele landet;2017K4;I alt;I alt;Gift/separeret;2145883
Hele landet;2017K4;I alt;I alt;Enke/enkemand;291174
Hele landet;2017K4;I alt;I alt;Fraskilt;535372
Hele landet;2018K4;I alt;I alt;I alt;5806015
Hele landet;2018K4;I alt;I alt;Ugift;2827695
Hele landet;2018K4;I alt;I alt;Gift/separeret;2146813
Hele landet;2018K4;I alt;I alt;Enke/enkemand;289227
Hele landet;2018K4;I alt;I alt;Fraskilt;542280
Hele landet;2019K4;I alt;I alt;I alt;5827463
Hele landet;2019K4;I alt;I alt;Ugift;2845453
Hele landet;2019K4;I alt;I alt;Gift/separeret;2149938
Hele landet;2019K4;I alt;I alt;Enke/enkemand;288226
Hele landet;2019K4;I alt;I alt;Fraskilt;543846
Hele landet;2020K4;I alt;I alt;I alt;5837213
Hele landet;2020K4;I alt;I alt;Ugift;2859116
Hele landet;2020K4;I alt;I alt;Gift/separeret;2138124
Hele landet;2020K4;I alt;I alt;Enke/enkemand;287554
Hele landet;2020K4;I alt;I alt;Fraskilt;552419
Region Hovedstaden;2008K4;I alt;I alt;I alt;1660042
Region Hovedstaden;2008K4;I alt;I alt;Ugift;820315
