OMRÅDE;KØN;CIVILSTAND;TID;ALDER;INDHOLD
København;Mænd;Ugift;2016K4;30 år;6033
København;Mænd;Ugift;2016K4;31 år;5250
København;Mænd;Ugift;2016K4;32 år;4648
København;Mænd;Ugift;2016K4;33 år;4116
København;Mænd;Ugift;2016K4;34 år;3611
København;Mænd;Ugift;2016K4;35 år;3396
København;Mænd;Ugift;2016K4;36 år;3249
København;Mænd;Ugift;2016K4;37 år;2973
København;Mænd;Ugift;2016K4;38 år;2634
København;Mænd;Ugift;2016K4;39 år;2363
København;Mænd;Ugift;2016K4;40 år;2303
København;Mænd;Ugift;2017K4;30 år;6029
København;Mænd;Ugift;2017K4;31 år;5538
København;Mænd;Ugift;2017K4;32 år;4824
København;Mænd;Ugift;2017K4;33 år;4180
København;Mænd;Ugift;2017K4;34 år;3785
København;Mænd;Ugift;2017K4;35 år;3226
København;Mænd;Ugift;2017K4;36 år;3081
København;Mænd;Ugift;2017K4;37 år;2965
København;Mænd;Ugift;2017K4;38 år;2754
København;Mænd;Ugift;2017K4;39 år;2427
København;Mænd;Ugift;2017K4;40 år;2205
København;Mænd;Ugift;2018K4;30 år;6274
København;Mænd;Ugift;2018K4;31 år;5592
København;Mænd;Ugift;2018K4;32 år;4996
København;Mænd;Ugift;2018K4;33 år;4413
København;Mænd;Ugift;2018K4;34 år;3810
København;Mænd;Ugift;2018K4;35 år;3454
København;Mænd;Ugift;2018K4;36 år;2992
København;Mænd;Ugift;2018K4;37 år;2860
København;Mænd;Ugift;2018K4;38 år;2772
København;Mænd;Ugift;2018K4;39 år;2549
København;Mænd;Ugift;2018K4;40 år;2283
København;Mænd;Ugift;2019K4;30 år;6647
København;Mænd;Ugift;2019K4;31 år;5751
København;Mænd;Ugift;2019K4;32 år;5095
København;Mænd;Ugift;2019K4;33 år;4556
København;Mænd;Ugift;2019K4;34 år;3928
København;Mænd;Ugift;2019K4;35 år;3460
København;Mænd;Ugift;2019K4;36 år;3150
København;Mænd;Ugift;2019K4;37 år;2741
København;Mænd;Ugift;2019K4;38 år;2626
København;Mænd;Ugift;2019K4;39 år;2576
København;Mænd;Ugift;2019K4;40 år;2355
København;Mænd;Ugift;2020K4;30 år;6893
København;Mænd;Ugift;2020K4;31 år;6131
København;Mænd;Ugift;2020K4;32 år;5242
København;Mænd;Ugift;2020K4;33 år;4617
København;Mænd;Ugift;2020K4;34 år;4118
København;Mænd;Ugift;2020K4;35 år;3550
København;Mænd;Ugift;2020K4;36 år;3122
København;Mænd;Ugift;2020K4;37 år;2869
København;Mænd;Ugift;2020K4;38 år;2532
København;Mænd;Ugift;2020K4;39 år;2416
København;Mænd;Ugift;2020K4;40 år;2394
København;Mænd;Gift/separeret;2016K4;30 år;1238
København;Mænd;Gift/separeret;2016K4;31 år;1439
København;Mænd;Gift/separeret;2016K4;32 år;1582
København;Mænd;Gift/separeret;2016K4;33 år;1705
København;Mænd;Gift/separeret;2016K4;34 år;1779
København;Mænd;Gift/separeret;2016K4;35 år;1796
København;Mænd;Gift/separeret;2016K4;36 år;1913
København;Mænd;Gift/separeret;2016K4;37 år;1819
København;Mænd;Gift/separeret;2016K4;38 år;1965
København;Mænd;Gift/separeret;2016K4;39 år;1885
København;Mænd;Gift/separeret;2016K4;40 år;2008
København;Mænd;Gift/separeret;2017K4;30 år;1263
København;Mænd;Gift/separeret;2017K4;31 år;1466
København;Mænd;Gift/separeret;2017K4;32 år;1575
København;Mænd;Gift/separeret;2017K4;33 år;1740
København;Mænd;Gift/separeret;2017K4;34 år;1808
København;Mænd;Gift/separeret;2017K4;35 år;1797
København;Mænd;Gift/separeret;2017K4;36 år;1855
København;Mænd;Gift/separeret;2017K4;37 år;1941
København;Mænd;Gift/separeret;2017K4;38 år;1868
København;Mænd;Gift/separeret;2017K4;39 år;1958
København;Mænd;Gift/separeret;2017K4;40 år;1910
København;Mænd;Gift/separeret;2018K4;30 år;1258
København;Mænd;Gift/separeret;2018K4;31 år;1486
København;Mænd;Gift/separeret;2018K4;32 år;1683
København;Mænd;Gift/separeret;2018K4;33 år;1680
København;Mænd;Gift/separeret;2018K4;34 år;1845
København;Mænd;Gift/separeret;2018K4;35 år;1909
København;Mænd;Gift/separeret;2018K4;36 år;1808
København;Mænd;Gift/separeret;2018K4;37 år;1865
København;Mænd;Gift/separeret;2018K4;38 år;1945
København;Mænd;Gift/separeret;2018K4;39 år;1904
København;Mænd;Gift/separeret;2018K4;40 år;1967
København;Mænd;Gift/separeret;2019K4;30 år;1254
København;Mænd;Gift/separeret;2019K4;31 år;1534
København;Mænd;Gift/separeret;2019K4;32 år;1645
København;Mænd;Gift/separeret;2019K4;33 år;1753
København;Mænd;Gift/separeret;2019K4;34 år;1789
København;Mænd;Gift/separeret;2019K4;35 år;1908
København;Mænd;Gift/separeret;2019K4;36 år;1976
København;Mænd;Gift/separeret;2019K4;37 år;1818
København;Mænd;Gift/separeret;2019K4;38 år;1866
