OMRÅDE,KØN,CIVILSTAND,TID,ALDER,INDHOLD
København,Mænd,Ugift,2016,30,6033
København,Mænd,Ugift,2016,31,5250
København,Mænd,Ugift,2016,32,4648
København,Mænd,Ugift,2016,33,4116
København,Mænd,Ugift,2016,34,3611
København,Mænd,Ugift,2016,35,3396
København,Mænd,Ugift,2016,36,3249
København,Mænd,Ugift,2016,37,2973
København,Mænd,Ugift,2016,38,2634
København,Mænd,Ugift,2016,39,2363
København,Mænd,Ugift,2016,40,2303
København,Mænd,Ugift,2017,30,6029
København,Mænd,Ugift,2017,31,5538
København,Mænd,Ugift,2017,32,4824
København,Mænd,Ugift,2017,33,4180
København,Mænd,Ugift,2017,34,3785
København,Mænd,Ugift,2017,35,3226
København,Mænd,Ugift,2017,36,3081
København,Mænd,Ugift,2017,37,2965
København,Mænd,Ugift,2017,38,2754
København,Mænd,Ugift,2017,39,2427
København,Mænd,Ugift,2017,40,2205
København,Mænd,Ugift,2018,30,6274
København,Mænd,Ugift,2018,31,5592
København,Mænd,Ugift,2018,32,4996
København,Mænd,Ugift,2018,33,4413
København,Mænd,Ugift,2018,34,3810
København,Mænd,Ugift,2018,35,3454
København,Mænd,Ugift,2018,36,2992
København,Mænd,Ugift,2018,37,2860
København,Mænd,Ugift,2018,38,2772
København,Mænd,Ugift,2018,39,2549
København,Mænd,Ugift,2018,40,2283
København,Mænd,Ugift,2019,30,6647
København,Mænd,Ugift,2019,31,5751
København,Mænd,Ugift,2019,32,5095
København,Mænd,Ugift,2019,33,4556
København,Mænd,Ugift,2019,34,3928
København,Mænd,Ugift,2019,35,3460
København,Mænd,Ugift,2019,36,3150
København,Mænd,Ugift,2019,37,2741
København,Mænd,Ugift,2019,38,2626
København,Mænd,Ugift,2019,39,2576
København,Mænd,Ugift,2019,40,2355
København,Mænd,Ugift,2020,30,6893
København,Mænd,Ugift,2020,31,6131
København,Mænd,Ugift,2020,32,5242
København,Mænd,Ugift,2020,33,4617
København,Mænd,Ugift,2020,34,4118
København,Mænd,Ugift,2020,35,3550
København,Mænd,Ugift,2020,36,3122
København,Mænd,Ugift,2020,37,2869
København,Mænd,Ugift,2020,38,2532
København,Mænd,Ugift,2020,39,2416
København,Mænd,Ugift,2020,40,2394
København,Mænd,Gift/separeret,2016,30,1238
København,Mænd,Gift/separeret,2016,31,1439
København,Mænd,Gift/separeret,2016,32,1582
København,Mænd,Gift/separeret,2016,33,1705
København,Mænd,Gift/separeret,2016,34,1779
København,Mænd,Gift/separeret,2016,35,1796
København,Mænd,Gift/separeret,2016,36,1913
København,Mænd,Gift/separeret,2016,37,1819
København,Mænd,Gift/separeret,2016,38,1965
København,Mænd,Gift/separeret,2016,39,1885
København,Mænd,Gift/separeret,2016,40,2008
København,Mænd,Gift/separeret,2017,30,1263
København,Mænd,Gift/separeret,2017,31,1466
København,Mænd,Gift/separeret,2017,32,1575
København,Mænd,Gift/separeret,2017,33,1740
København,Mænd,Gift/separeret,2017,34,1808
København,Mænd,Gift/separeret,2017,35,1797
København,Mænd,Gift/separeret,2017,36,1855
København,Mænd,Gift/separeret,2017,37,1941
København,Mænd,Gift/separeret,2017,38,1868
København,Mænd,Gift/separeret,2017,39,1958
København,Mænd,Gift/separeret,2017,40,1910
København,Mænd,Gift/separeret,2018,30,1258
København,Mænd,Gift/separeret,2018,31,1486
København,Mænd,Gift/separeret,2018,32,1683
København,Mænd,Gift/separeret,2018,33,1680
København,Mænd,Gift/separeret,2018,34,1845
København,Mænd,Gift/separeret,2018,35,1909
København,Mænd,Gift/separeret,2018,36,1808
København,Mænd,Gift/separeret,2018,37,1865
København,Mænd,Gift/separeret,2018,38,1945
København,Mænd,Gift/separeret,2018,39,1904
København,Mænd,Gift/separeret,2018,40,1967
København,Mænd,Gift/separeret,2019,30,1254
København,Mænd,Gift/separeret,2019,31,1534
København,Mænd,Gift/separeret,2019,32,1645
København,Mænd,Gift/separeret,2019,33,1753
København,Mænd,Gift/separeret,2019,34,1789
København,Mænd,Gift/separeret,2019,35,1908
København,Mænd,Gift/separeret,2019,36,1976
København,Mænd,Gift/separeret,2019,37,1818
København,Mænd,Gift/separeret,2019,38,1866
København,Mænd,Gift/separeret,2019,39,1947
København,Mænd,Gift/separeret,2019,40,1927
København,Mænd,Gift/separeret,2020,30,1212
København,Mænd,Gift/separeret,2020,31,1408
København,Mænd,Gift/separeret,2020,32,1658
København,Mænd,Gift/separeret,2020,33,1679
København,Mænd,Gift/separeret,2020,34,1778
København,Mænd,Gift/separeret,2020,35,1769
København,Mænd,Gift/separeret,2020,36,1859
København,Mænd,Gift/separeret,2020,37,1990
København,Mænd,Gift/separeret,2020,38,1779
København,Mænd,Gift/separeret,2020,39,1832
København,Mænd,Gift/separeret,2020,40,1921
København,Mænd,Enke/enkemand,2016,30,1
København,Mænd,Enke/enkemand,2016,31,1
København,Mænd,Enke/enkemand,2016,32,1
København,Mænd,Enke/enkemand,2016,33,1
København,Mænd,Enke/enkemand,2016,34,0
København,Mænd,Enke/enkemand,2016,35,2
København,Mænd,Enke/enkemand,2016,36,5
København,Mænd,Enke/enkemand,2016,37,1
København,Mænd,Enke/enkemand,2016,38,7
København,Mænd,Enke/enkemand,2016,39,10
København,Mænd,Enke/enkemand,2016,40,7
København,Mænd,Enke/enkemand,2017,30,0
København,Mænd,Enke/enkemand,2017,31,1
København,Mænd,Enke/enkemand,2017,32,0
København,Mænd,Enke/enkemand,2017,33,1
København,Mænd,Enke/enkemand,2017,34,2
København,Mænd,Enke/enkemand,2017,35,1
